County,State,SEX AND AGE,Total population,        Male,        Female,        Sex ratio (males per 100 females),        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 34 years,        35 to 44 years,        45 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 74 years,        75 to 84 years,        85 years and over,        Median age (years),        Under 18 years,        16 years and over,        18 years and over,        21 years and over,        62 years and over,        65 years and over,        18 years and over,            Male(18),            Female(18),            Sex ratio (males per 100 females - 18),        65 years and over,            Male(65),            Female(65),            Sex ratio (males per 100 females - 65),RACE,    Total population,        One race,        Two or More Races,        One race,            White,            Black or African American,            American Indian and Alaska Native,                Cherokee tribal grouping,                Chippewa tribal grouping,                Navajo tribal grouping,                Sioux tribal grouping,            Asian,                Asian Indian,                Chinese,                Filipino,                Japanese,                Korean,                Vietnamese,                Other Asian,            Native Hawaiian and Other Pacific Islander,                Chamorro,                Native Hawaiian,                Samoan,                Other Native Hawaiian and Other Pacific Islander,            Some Other Race,        Two or More Races,            White and Black or African American,            White and American Indian and Alaska Native,            White and Asian,            White and Some Other Race,            Black or African American and American Indian and Alaska Native,            Black or African American and Some Other Race,Race alone or in combination with one or more other races,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some Other Race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,                Two races including Some Other Race,"                Two races excluding Some Other Race, and three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",        Male,        Female
Baldwin County, Alabama,,"246,435","120,664","125,771",95.9,"12,553","15,581","13,705","13,772","12,065","28,027","29,375","32,326","14,586","20,499","31,594","16,612","5,740",44.5,"51,269","201,504","195,166","188,973","66,568","53,946","195,166","94,150","101,016",93.2,"53,946","24,683","29,263",84.3,,"246,435","230,032","16,403","230,032","204,709","17,251","1,012",N,N,N,N,"2,363",N,N,N,N,N,N,N,111,N,N,N,N,"4,586","16,403","3,958","3,062","1,599","4,738","1,226",603,,"246,435","219,162","23,957","5,407","4,567",N,"10,410",,"246,435","12,411","7,071",751,472,"4,117","234,024","202,453","17,134",298,"2,363",71,210,"11,495","1,825","9,670","132,299",,"189,876","91,296","98,580"
Calhoun County, Alabama,,"115,788","56,554","59,234",95.5,"6,661","5,376","7,505","8,145","9,623","14,606","13,115","14,388","7,346","7,578","13,217","6,723","1,505",39.4,"24,410","94,762","91,378","84,925","25,918","21,445","91,378","43,693","47,685",91.6,"21,445","9,214","12,231",75.3,,"115,788","111,944","3,844","111,944","80,477","25,960",260,N,N,N,N,"1,372",N,N,N,N,N,N,N,122,N,N,N,N,"3,753","3,844","1,229",766,327,"1,133",0,29,,"115,788","84,161","27,218","1,228","1,857",N,"5,117",,"115,788","5,030",N,N,N,N,"110,758","79,489","25,821",260,884,122,"1,518","2,664",330,"2,334","53,408",,"90,642","43,301","47,341"
Cullman County, Alabama,,"90,665","45,051","45,614",98.8,"5,449","5,785","5,204","5,545","5,209","11,930","10,752","11,341","5,870","6,204","10,047","5,680","1,649",40.7,"20,170","72,822","70,495","67,293","20,874","17,376","70,495","34,385","36,110",95.2,"17,376","7,729","9,647",80.1,,"90,665","85,001","5,664","85,001","82,050","1,127",184,N,N,N,N,264,N,N,N,N,N,N,N,47,N,N,N,N,"1,329","5,664",N,N,N,N,N,N,,"90,665","87,547","1,907","1,206",N,N,"5,090",,"90,665","4,351",N,N,N,N,"86,314","81,787","1,127",141,264,47,179,"2,769",897,"1,872","39,893",,"69,096","33,827","35,269"
DeKalb County, Alabama,,"71,998","36,024","35,974",100.1,"4,031","5,086","4,491","5,322","4,693","8,029","9,479","8,707","4,628","4,769","7,604","4,384",775,39.6,"17,043","56,340","54,955","51,821","16,141","12,763","54,955","27,072","27,883",97.1,"12,763","5,788","6,975",83,,"71,998","67,636","4,362","67,636","57,615",885,"2,726",N,N,N,N,132,N,N,N,N,N,N,N,"1,877",N,N,N,N,"4,401","4,362",534,"1,378",0,"2,061",0,0,,"71,998","61,757","1,554","4,273",N,N,"6,716",,"71,998","11,515",N,N,N,N,"60,483","55,625",885,685,132,0,650,"2,506",453,"2,053","31,022",,"52,110","25,847","26,263"
Elmore County, Alabama,,"89,563","43,448","46,115",94.2,"4,519","4,559","6,623","5,093","4,907","13,068","12,284","11,601","5,818","6,497","8,936","5,053",605,38.8,"18,970","72,804","70,593","67,760","18,339","14,594","70,593","33,813","36,780",91.9,"14,594","6,410","8,184",78.3,,"89,563","84,932","4,631","84,932","64,770","18,477",196,N,N,N,N,423,N,N,N,N,N,N,N,0,N,N,N,N,"1,066","4,631",N,N,N,N,N,N,,"89,563","69,224","20,535",834,933,N,"2,762",,"89,563","2,848",N,N,N,N,"86,715","64,182","18,477",196,423,0,106,"3,331",396,"2,935","37,379",,"69,952","33,471","36,481"
Etowah County, Alabama,,"103,088","50,443","52,645",95.8,"5,947","7,009","5,394","5,597","6,124","12,461","12,995","13,486","8,004","5,701","12,675","6,469","1,226",42.8,"22,032","83,412","81,056","78,176","23,863","20,370","81,056","38,450","42,606",90.2,"20,370","8,966","11,404",78.6,,"103,088","99,441","3,647","99,441","79,894","13,521","1,600",N,N,N,N,927,N,N,N,N,N,N,N,0,N,N,N,N,"3,499","3,647","1,657","1,012",117,723,138,0,,"103,088","83,403","15,316","2,750","1,044",N,"4,222",,"103,088","4,921",N,N,N,N,"98,167","79,257","13,341",57,884,0,"1,787","2,841",229,"2,612","47,642",,"79,217","37,567","41,650"
Houston County, Alabama,,"108,079","51,728","56,351",91.8,"6,746","7,020","6,384","6,375","6,697","13,584","13,658","13,330","7,260","7,016","11,629","6,488","1,892",40.3,"24,386","86,267","83,693","79,982","24,393","20,009","83,693","39,071","44,622",87.6,"20,009","8,664","11,345",76.4,,"108,079","102,083","5,996","102,083","70,658","28,787",450,N,N,N,N,"1,136",N,N,N,N,N,N,N,0,N,N,N,N,"1,052","5,996","1,550",747,347,"2,494",303,104,,"108,079","76,104","30,999","1,570","1,651",282,"3,769",,"108,079","4,210","2,217",569,151,"1,273","103,869","69,347","28,787",320,"1,112",0,107,"4,196","1,002","3,194","50,207",,"82,000","38,097","43,903"
Jefferson County, Alabama,,"665,409","316,006","349,403",90.4,"40,023","42,312","41,999","44,003","45,196","92,953","86,752","77,841","36,117","44,527","68,694","31,937","13,055",38.1,"149,764","532,318","515,645","486,856","140,876","113,686","515,645","239,657","275,988",86.8,"113,686","47,695","65,991",72.3,,"665,409","639,603","25,806","639,603","325,685","285,070","1,859",N,N,N,N,"12,783","3,351","3,751",439,263,938,"2,374","1,667",23,N,N,N,N,"14,183","25,806","4,441","2,984",835,"11,306",534,"1,284",,"665,409","347,757","293,117","7,203","15,714","1,724","28,556",,"665,409","29,282","18,922",977,807,"8,576","636,127","320,730","284,412",412,"12,756",0,"4,117","13,700","2,575","11,125","310,678",,"496,342","229,166","267,176"
Lauderdale County, Alabama,,"95,878","45,733","50,145",91.2,"4,503","5,082","5,856","6,795","7,707","11,636","10,978","11,110","5,541","6,480","11,926","6,413","1,851",41.5,"18,804","78,774","77,074","71,625","23,971","20,190","77,074","36,202","40,872",88.6,"20,190","8,751","11,439",76.5,,"95,878","91,805","4,073","91,805","80,673","9,141",247,N,N,N,N,506,N,N,N,N,N,N,N,0,N,N,N,N,"1,238","4,073",997,683,602,"1,192",0,0,,"95,878","84,657","10,502","1,349","1,171",N,"2,762",,"95,878","3,057",N,N,N,N,"92,821","79,614","9,059",154,498,0,499,"2,997",480,"2,517","44,914",,"75,487","36,040","39,447"
Lee County, Alabama,,"180,773","89,415","91,358",97.9,"9,451","10,865","10,460","15,868","23,400","23,290","23,459","19,537","9,778","10,330","15,283","7,080","1,972",33.7,"37,226","148,269","143,547","126,682","30,752","24,335","143,547","70,069","73,478",95.4,"24,335","10,990","13,345",82.4,,"180,773","172,787","7,986","172,787","121,889","39,839",184,N,N,N,N,"7,469","1,267","1,118",225,85,"3,175",391,"1,208",96,N,N,N,N,"3,310","7,986","1,751","1,094",805,"1,923",0,385,,"180,773","129,067","43,241","2,043","9,652",578,"6,539",,"180,773","7,317","3,013",687,253,"3,364","173,456","120,532","38,975",27,"7,469",96,"1,212","5,145",439,"4,706","79,626",,"138,134","66,937","71,197"
Limestone County, Alabama,,"110,900","56,166","54,734",102.6,"5,630","8,112","7,267","4,963","6,122","14,106","14,625","16,765","7,784","7,689","10,428","5,722","1,687",41,"24,452","89,086","86,448","83,810","23,305","17,837","86,448","43,397","43,051",100.8,"17,837","8,165","9,672",84.4,,"110,900","104,450","6,450","104,450","84,085","15,139",670,N,N,N,N,"1,923",N,N,N,N,N,N,N,195,N,N,N,N,"2,438","6,450","1,144","1,077",880,"2,564",0,209,,"110,900","90,326","16,602","1,838","2,894",570,"5,321",,"110,900","7,413",N,N,N,N,"103,487","81,690","15,139",346,"1,728",0,0,"4,584","1,017","3,567","44,305",,"84,007","42,058","41,949"
Madison County, Alabama,,"403,565","199,367","204,198",97.6,"22,305","25,836","22,352","28,169","27,381","56,269","53,628","47,201","24,451","31,745","37,223","21,182","5,823",38.8,"85,657","327,507","317,908","299,231","79,890","64,228","317,908","155,569","162,339",95.8,"64,228","28,235","35,993",78.4,,"403,565","371,596","31,969","371,596","255,122","96,417","2,390",N,N,N,N,"9,760","2,424","1,095",751,"1,058","2,019","1,328","1,085",287,N,N,N,N,"7,620","31,969","6,294","4,073","3,811","12,387",443,303,,"403,565","285,291","106,311","8,215","16,141","2,076","20,930",,"403,565","22,568","10,925","2,896",686,"8,061","380,997","251,754","96,101","1,673","9,411",215,"2,335","19,508","2,662","16,846","179,336",,"308,161","150,203","157,958"
Marshall County, Alabama,,"99,423","49,035","50,388",97.3,"6,982","6,645","7,436","6,789","6,025","11,562","12,180","11,941","6,750","5,788","10,325","5,602","1,398",38.2,"25,340","77,069","74,083","70,875","21,045","17,325","74,083","36,166","37,917",95.4,"17,325","7,472","9,853",75.8,,"99,423","90,376","9,047","90,376","77,289","1,192","1,689",N,N,N,N,527,N,N,N,N,N,N,N,247,N,N,N,N,"9,432","9,047","1,613","1,532",299,"4,835",379,25,,"99,423","85,893","3,543","3,964",918,N,"14,529",,"99,423","15,915","9,924",323,276,"5,392","83,508","76,513","1,187",103,509,247,333,"4,616","1,091","3,525","41,767",,"69,914","33,724","36,190"
Mobile County, Alabama,,"411,411","197,023","214,388",91.9,"25,491","25,092","27,573","26,649","26,896","57,435","50,421","47,563","24,935","27,772","42,741","21,289","7,554",37.9,"94,979","326,493","316,432","299,400","89,201","71,584","316,432","148,763","167,669",88.7,"71,584","31,511","40,073",78.6,,"411,411","391,685","19,726","391,685","229,044","146,912","1,228",N,N,N,N,"8,827",404,"1,027",445,376,458,"3,115","3,002",252,N,N,N,N,"5,422","19,726","3,457","4,140","1,502","5,408",353,751,,"411,411","246,856","154,652","9,033","11,121",540,"12,747",,"411,411","13,124","4,668","1,670",534,"6,252","398,287","226,998","146,303","1,176","8,670",252,"1,686","13,202","1,325","11,877","186,219",,"312,383","146,518","165,865"
Montgomery County, Alabama,,"226,361","107,059","119,302",89.7,"15,224","14,618","14,600","15,416","15,662","33,710","27,484","25,029","13,148","14,916","21,918","10,868","3,768",36.4,"53,525","179,363","172,836","163,905","45,238","36,554","172,836","79,212","93,624",84.6,"36,554","15,216","21,338",71.3,,"226,361","216,969","9,392","216,969","69,448","136,285",393,N,N,N,N,"7,717",920,"1,403",540,143,"2,558",251,"1,902",70,N,N,N,N,"3,056","9,392","3,107",731,778,"3,933",122,244,,"226,361","78,297","140,151","1,300","8,843",N,"7,287",,"226,361","9,178","4,640","1,472",406,"2,660","217,183","67,752","135,919",109,"7,717",70,212,"5,404",768,"4,636","106,191",,"166,250","74,784","91,466"
