,countyFIPS,County Name,State_x,population,Male,Female,Under 18 years,18 years and over,65 years and over
0,1003,Baldwin County,AL,223234,"120,664","125,771","51,269","195,166","53,946"
1,1015,Calhoun County,AL,113605,"56,554","59,234","24,410","91,378","21,445"
2,1043,Cullman County,AL,83768,"45,051","45,614","20,170","70,495","17,376"
3,1049,DeKalb County,AL,71513,"36,024","35,974","17,043","54,955","12,763"
4,1051,Elmore County,AL,81209,"43,448","46,115","18,970","70,593","14,594"
5,1055,Etowah County,AL,102268,"50,443","52,645","22,032","81,056","20,370"
6,1069,Houston County,AL,105882,"51,728","56,351","24,386","83,693","20,009"
7,1073,Jefferson County,AL,658573,"316,006","349,403","149,764","515,645","113,686"
8,1077,Lauderdale County,AL,92729,"45,733","50,145","18,804","77,074","20,190"
9,1081,Lee County,AL,164542,"89,415","91,358","37,226","143,547","24,335"
10,1083,Limestone County,AL,98915,"56,166","54,734","24,452","86,448","17,837"
11,1089,Madison County,AL,372909,"199,367","204,198","85,657","317,908","64,228"
12,1095,Marshall County,AL,96774,"49,035","50,388","25,340","74,083","17,325"
13,1097,Mobile County,AL,413210,"197,023","214,388","94,979","316,432","71,584"
14,1101,Montgomery County,AL,226486,"107,059","119,302","53,525","172,836","36,554"
15,1103,Morgan County,AL,119679,"61,086","63,125","28,238","95,973","22,898"
16,1115,St. Clair County,AL,89512,"46,470","47,462","20,790","73,142","17,280"
17,1117,Shelby County,AL,217702,"111,938","118,177","51,047","179,068","39,429"
18,1121,Talladega County,AL,79978,"37,822","42,882","16,451","64,253","15,615"
19,1125,Tuscaloosa County,AL,209355,"112,317","124,463","47,488","189,292","33,505"
20,2090,Fairbanks North Star Borough,AK,96849,"52,872","42,484","21,653","73,703","11,496"
21,2170,Matanuska-Susitna Borough,AK,108317,"59,378","53,947","29,102","84,223","15,458"
22,4001,Apache County,AZ,71887,"32,379","33,053","16,961","48,471","11,022"
23,4003,Cochise County,AZ,125922,"64,013","61,650","26,090","99,573","30,567"
24,4005,Coconino County,AZ,143476,"70,586","73,474","27,859","116,201","20,538"
25,4013,Maricopa County,AZ,4485414,"2,268,514","2,283,010","1,019,237","3,532,287","737,669"
26,4015,Mohave County,AZ,212181,"112,493","108,323","35,311","185,505","71,095"
27,4017,Navajo County,AZ,110924,"54,153","54,497","27,282","81,368","21,389"
28,4019,Pima County,AZ,1047279,"524,150","533,447","206,912","850,685","224,382"
29,4021,Pinal County,AZ,462789,"240,400","223,754","100,898","363,256","97,863"
30,4025,Yavapai County,AZ,235099,"121,122","125,069","37,100","209,091","83,951"
31,4027,Yuma County,AZ,213787,"106,122","101,720","51,691","156,151","42,802"
32,5007,Benton County,AR,279141,"151,676","151,187","76,289","226,574","42,406"
33,5031,Craighead County,AR,110332,"54,169","58,848","28,161","84,856","15,645"
34,5045,Faulkner County,AR,126007,"61,992","65,673","28,378","99,287","18,459"
35,5051,Garland County,AR,99386,"49,170","50,919","19,387","80,702","25,176"
36,5069,Jefferson County,AR,66824,"31,983","32,263","13,722","50,524","12,073"
37,5085,Lonoke County,AR,73309,"38,287","36,938","18,104","57,121","11,382"
38,5119,Pulaski County,AR,391911,"190,255","208,890","91,472","307,673","67,400"
39,5125,Saline County,AR,122437,"61,563","65,794","29,189","98,168","23,520"
40,5131,Sebastian County,AR,127827,"64,053","65,006","30,452","98,607","21,403"
41,5143,Washington County,AR,239187,"127,322","128,732","59,167","196,887","31,922"
42,5145,White County,AR,78753,"37,469","40,286","17,895","59,860","12,827"
43,6001,Alameda County,CA,1671329,"810,070","818,927","317,743","1,311,254","255,508"
44,6007,Butte County,CA,219186,"103,480","103,823","41,520","165,783","38,470"
45,6013,Contra Costa County,CA,1153526,"569,707","587,259","250,737","906,229","201,136"
46,6017,El Dorado County,CA,192843,"96,589","96,057","37,015","155,631","45,669"
47,6019,Fresno County,CA,999101,"510,861","504,329","280,714","734,476","130,982"
48,6023,Humboldt County,CA,135558,"67,044","67,966","24,107","110,903","27,129"
49,6025,Imperial County,CA,181215,"91,304","87,409","50,139","128,574","24,673"
50,6029,Kern County,CA,900202,"468,373","447,735","260,036","656,072","108,035"
51,6031,Kings County,CA,152940,"83,519","69,462","40,804","112,177","16,076"
52,6033,Lake County,CA,64386,"34,380","33,811","14,240","53,951","17,230"
53,6037,Los Angeles County,CA,10039107,"4,825,592","4,895,546","1,983,782","7,737,356","1,479,463"
54,6039,Madera County,CA,157327,"79,198","81,058","43,544","116,712","24,011"
55,6041,Marin County,CA,258826,"124,273","131,745","48,404","207,614","63,076"
56,6045,Mendocino County,CA,86749,"44,738","45,045","18,677","71,106","22,070"
57,6047,Merced County,CA,277680,"147,970","142,044","83,004","207,010","34,130"
58,6053,Monterey County,CA,434061,"220,203","212,655","110,095","322,763","66,224"
59,6055,Napa County,CA,137744,"68,028","66,272","25,623","108,677","28,962"
