"Area
Code",St,Cnty,Own,NAICS,Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
US000,US,000,0,10,2023,1,Nation,,U.S. TOTAL,Total Covered,"10 Total, all industries",,"11,883,196","150,176,434","150,957,408","151,418,052","2,873,835,484,925","1,465",1.00,1.00
US000,US,000,1,10,2023,1,Nation,,U.S. TOTAL,Federal Government,"10 Total, all industries",,"60,862","2,864,978","2,878,828","2,883,282","69,903,511,841","1,870",1.00,1.00
US000,US,000,2,10,2023,1,Nation,,U.S. TOTAL,State Government,"10 Total, all industries",,"71,582","4,524,712","4,616,278","4,635,444","87,116,336,812","1,459",1.00,1.00
US000,US,000,3,10,2023,1,Nation,,U.S. TOTAL,Local Government,"10 Total, all industries",,"171,871","14,247,053","14,368,698","14,432,079","222,765,651,053","1,194",1.00,1.00
US000,US,000,5,10,2023,1,Nation,,U.S. TOTAL,Private,"10 Total, all industries",,"11,578,881","128,539,691","129,093,604","129,467,247","2,494,049,985,219","1,487",1.00,1.00
US000,US,000,5,101,2023,1,Nation,,U.S. TOTAL,Private,101 Goods-producing,,"1,451,739","21,945,409","22,093,567","22,186,285","454,023,289,991","1,582",1.00,1.00
US000,US,000,5,1011,2023,1,Nation,,U.S. TOTAL,Private,1011 Natural resources and mining,,"144,238","1,647,653","1,687,617","1,697,924","33,710,737,599","1,546",1.00,1.00
US000,US,000,5,1012,2023,1,Nation,,U.S. TOTAL,Private,1012 Construction,,"918,739","7,490,412","7,566,700","7,645,141","141,551,410,256","1,439",1.00,1.00
US000,US,000,5,1013,2023,1,Nation,,U.S. TOTAL,Private,1013 Manufacturing,,"388,762","12,807,344","12,839,250","12,843,220","278,761,142,136","1,671",1.00,1.00
US000,US,000,5,102,2023,1,Nation,,U.S. TOTAL,Private,102 Service-providing,,"10,127,142","106,594,282","107,000,037","107,280,962","2,040,026,695,228","1,467",1.00,1.00
US000,US,000,5,1021,2023,1,Nation,,U.S. TOTAL,Private,"1021 Trade, transportation, and utilities",,"2,046,494","28,494,135","28,295,055","28,268,114","445,699,592,212","1,209",1.00,1.00
